الكلمة,المعنى المرجعي,مصدر المعنى
السَّنا,نور,معجم الرياض
الشَّفَق,حمرة تظهر في الأفق من بقية ضوء الشمس بعد غروبها‏,معجم الرياض
الغُروب,أُفُول‏,معجم الرياض
الفَجر, أول وقت النهار وهو وقت ظهور ضوء خفيف,معجم الرياض
النَّدى,بخار المَاء يتكاثف فِي طَبَقَات الجو الْبَارِدَة فِي أثْنَاء اللَّيْل وَيسْقط على الأَرْض قطرات صَغِيرَة,معجم الرياض
النَّسيم,رياح هادئة,معجم الرياض
الوَهَج,أَضَاءَ الشَّيْءُ وَتَلَأْلَأَ,معجم الرياض
البَريق,لَمَعَان,معجم الرياض
الشُّعاع,"ضوء منبعث من مصدر مضيء، ويشبه الخيوط الرفيعة المنتشرة",معجم الرياض
الهِلال,أحد أطوار القمر حيث يكون وجهه على هيئة القوس,معجم الرياض
برق, ضوء قوي يتبعه صوت يضيء في السماء نتيجة لتفريغ الكهرباء في السحاب,معجم الرياض
الرَّذاذ,قطرات صغيرة من الماء ونحوه,معجم الرياض
قَوسُ قُزَح,قوس يظهر في السماء يتكوَّن منه ألوان الطيف السبعة,معجم الرياض
غَدير,نهر صغير وجدول,معجم الرياض
جَدول,مجرى صغير يُشَقّ في الأرض للسقي,معجم الرياض
شَلَّال,هبوط المياه من مكان مرتفع أو جبل لتصب في نهر,معجم الرياض
واحة,بقعة خضراء ذات ماء وشجر‏ وسط الصحراء,معجم الرياض
غيمة,"قطعة من الغيم، ضباب كثيف.",معجم الرياض
بُرعم,"فرع صغير يتفرع من ساق النبات، يحمل الأوراق أو الأزهار",معجم الرياض
بَتلة,"جزء من الزهرة، عبارة عن أوراق نباتية متحورة",معجم الرياض
خَرير,صوت الماء‏ حينما يسيل أو يسقط من مكان عالٍ,معجم الرياض
حَفيف,الصوت الصادر عن تحرُّك أوراق الشجر,معجم الرياض
زَقزقة,صَوْت بَعْض الطيور,معجم الرياض
هَمْس,تكلُّم بصوت خفِيّ,معجم الرياض
رَفرفة,بسط الطائر جناحيه وتحريكهما,معجم الرياض
صَهيل,صوت الفرس‏.,معجم الرياض
زَئير,صوت الأسد.,معجم الرياض
هَديل,صَوْت الحمام,معجم الرياض
نَقيق,صوت الضفدع,معجم الرياض
خُوار,صَوْتُ البَقَرِ أو الثور,معجم الرياض
عَبِير,رائحة طيبة زكية,معجم الرياض
أَرِيج,رائحة زاكية طيبة,معجم الرياض
عِطر,ما يُتطيَّب به لحسن رائحته,معجم الرياض
نَاعم,الناعم من الأشياء اللين,معجم الرياض
أملس,ناعم ومستوي الملمس,معجم الرياض
خَشن, غير سوي الملمس,معجم الرياض
لامع,"برّاق، مضيء",معجم الرياض
مُتَلألئ,لامع‏,معجم الرياض
دافئ,معتدل الحرارة,معجم الرياض
بارد,ما لا حرارة فيه,معجم الرياض
