letter,audio_file,start_seconds,end_seconds
ا,reference_audio/ا.wav,34,36
ب,reference_audio/ب.wav,36,38
ت,reference_audio/ت.wav,38,40
ث,reference_audio/ث.wav,40,43
ج,reference_audio/ج.wav,43,45
ح,reference_audio/ح.wav,45,48
خ,reference_audio/خ.wav,48,50
د,reference_audio/د.wav,50,53
ذ,reference_audio/ذ.wav,53,55
ر,reference_audio/ر.wav,55,58
ز,reference_audio/ز.wav,58,60
س,reference_audio/س.wav,60,63
ش,reference_audio/ش.wav,63,66
ص,reference_audio/ص.wav,66,69
ض,reference_audio/ض.wav,70,72
ط,reference_audio/ط.wav,72,75
ظ,reference_audio/ظ.wav,75,77
ع,reference_audio/ع.wav,77,79
غ,reference_audio/غ.wav,80,82
ف,reference_audio/ف.wav,83,85
ق,reference_audio/ق.wav,85,88
ك,reference_audio/ك.wav,88,90
ل,reference_audio/ل.wav,90,93
م,reference_audio/م.wav,93,96
ن,reference_audio/ن.wav,96,98
و,reference_audio/و.wav,98,100
ه,reference_audio/ه.wav,101,103
ي,reference_audio/ي.wav,105,108
